äa	f. poss. pron. her; {dit es äa Rock - this is her dress}. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4a	äa	Ehr	http://example.org/lexicon#S%C4%93_Ehr
äakjelhauft	loathesome, distasteful, nauseous, abomination. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4akjelhauft	äakjelhauft	_
äakjle	to loathe, to detest, to abhor, to feel disgusted. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4akjle	äakjle	_
äakjlijch	see äakjelhauft. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4akjlijch	äakjlijch	_
äara	m. hers, theirs. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4ara	äara	_
äare	f. or plural, her, their; hers, theirs. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4are	äare	Ehr	http://example.org/lexicon#S%C4%93_Ehr
_	_	_	äare	ehr	http://example.org/lexicon#d%C4%93_ehr
_	_	_	äare	ehr	http://example.org/lexicon#d%C4%93_s%C3%BCm%7Cehr%28n%29
_	_	_	äare	ehr	http://example.org/lexicon#ehr
_	_	_	äare	Ēhr	http://example.org/lexicon#%C4%92hr
_	_	_	äare	Ēēr	http://example.org/lexicon#%C4%92%C4%93r
_	_	_	äare	ēhr	http://example.org/lexicon#%C4%93hr
_	_	_	äare	ēhr	http://example.org/lexicon#al_%C4%93hr
_	_	_	äare	ēhren	http://example.org/lexicon#%C4%93%C4%93n_%C4%93hren
_	_	_	äare	ēhren	http://example.org/lexicon#wat_%C4%93hren
äat	n. hers, theirs. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4at	äat	_
äatshaulwe , äarenthaulwe	for her (their) sake. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4atshaulwe%20%2C%20%C3%A4arenthaulwe	äatshaulwe	_
_	_	_	,	_
_	_	_	äarenthaulwe	_
äatsjlikje	her peers, their peers, of her or their kind, like her, the likes of (her) (them). 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4atsjlikje	äatsjlikje	_
acht	f. (pl: e) eight. 	https://ereimer.net/plautdietsch/pddefns.htm#acht	acht	Acht	http://example.org/lexicon#Acht
_	_	_	acht	acht	http://example.org/lexicon#%28s%C5%8D%29_h%C4%97n_no_%28Klock%29_acht
_	_	_	acht	acht	http://example.org/lexicon#in_acht_Doo%C4%9F
_	_	_	acht	acht	http://example.org/lexicon#s%C5%8D_bi_%28Klock%29_acht_%28ut%29
_	_	_	acht	echt	http://example.org/lexicon#echt
acht Noote	an octave. 	https://ereimer.net/plautdietsch/pddefns.htm#acht%20Noote	acht	Acht	http://example.org/lexicon#Acht
_	_	_	acht	acht	http://example.org/lexicon#%28s%C5%8D%29_h%C4%97n_no_%28Klock%29_acht
_	_	_	acht	acht	http://example.org/lexicon#in_acht_Doo%C4%9F
_	_	_	acht	acht	http://example.org/lexicon#s%C5%8D_bi_%28Klock%29_acht_%28ut%29
_	_	_	acht	echt	http://example.org/lexicon#echt
_	_	_	Noote	Noht	http://example.org/lexicon#Noht
_	_	_	Noote	Noht	http://example.org/lexicon#nix_op%E2%80%99e_Noht
_	_	_	Noote	Nōōt	http://example.org/lexicon#N%C5%8D%C5%8Dt
_	_	_	Noote	Nōōt	http://example.org/lexicon#N%C5%8D%C5%8Dt_an%E2%80%99_Mann
_	_	_	Noote	Nōōt	http://example.org/lexicon#mit_naue_N%C5%8D%C5%8Dt
Acht	f. respect. esteem. 	https://ereimer.net/plautdietsch/pddefns.htm#Acht	Acht	Acht	http://example.org/lexicon#Acht
_	_	_	Acht	acht	http://example.org/lexicon#%28s%C5%8D%29_h%C4%97n_no_%28Klock%29_acht
_	_	_	Acht	acht	http://example.org/lexicon#in_acht_Doo%C4%9F
_	_	_	Acht	acht	http://example.org/lexicon#s%C5%8D_bi_%28Klock%29_acht_%28ut%29
achtakjijch	octagonal. 	https://ereimer.net/plautdietsch/pddefns.htm#achtakjijch	achtakjijch	_
achte	to mind, to respect, to have regard for. 	https://ereimer.net/plautdietsch/pddefns.htm#achte	achte	Acht	http://example.org/lexicon#Acht
_	_	_	achte	acht	http://example.org/lexicon#%28s%C5%8D%29_h%C4%97n_no_%28Klock%29_acht
_	_	_	achte	acht	http://example.org/lexicon#in_acht_Doo%C4%9F
_	_	_	achte	acht	http://example.org/lexicon#s%C5%8D_bi_%28Klock%29_acht_%28ut%29
_	_	_	achte	achte	http://example.org/lexicon#de%7Cdat_achte
_	_	_	achte	achten	http://example.org/lexicon#achten
_	_	_	achte	achten	http://example.org/lexicon#dorop_achten
_	_	_	achte	echt	http://example.org/lexicon#echt
achtel	n. eighth part. 	https://ereimer.net/plautdietsch/pddefns.htm#achtel	achtel	Achtel	http://example.org/lexicon#%C4%97n_Achtel
Achtel Miel	a furlong. 	https://ereimer.net/plautdietsch/pddefns.htm#Achtel%20Miel	Achtel	Achtel	http://example.org/lexicon#%C4%97n_Achtel
_	_	_	Miel	Miel	http://example.org/lexicon#Miel
_	_	_	Miel	Müll	http://example.org/lexicon#M%C3%BCll
achtian	eighteen. 	https://ereimer.net/plautdietsch/pddefns.htm#achtian	achtian	_
achtungsweat	noteworthy. 	https://ereimer.net/plautdietsch/pddefns.htm#achtungsweat	achtungsweat	_
Acka	m. (pl: sch) acre. 	https://ereimer.net/plautdietsch/pddefns.htm#Acka	Acka	Ecker	http://example.org/lexicon#Ecker
ackre	to till, to seed the land, to work the land. 	https://ereimer.net/plautdietsch/pddefns.htm#ackre	ackre	Ecker	http://example.org/lexicon#Ecker
adel	noble. 	https://ereimer.net/plautdietsch/pddefns.htm#adel	adel	Eddel	http://example.org/lexicon#de%7Cdat_Eddel_E%7CA
_	_	_	adel	eddel	http://example.org/lexicon#eddel
Adelmaun	m. nobleman. 	https://ereimer.net/plautdietsch/pddefns.htm#Adelmaun	Adelmaun	Eddelmann	http://example.org/lexicon#Eddelmann
Ädikj	m. vinegar. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84dikj	Ädikj	_
A'drass	f. (pl: e) address. 	https://ereimer.net/plautdietsch/pddefns.htm#A%27drass	A'drass	_
A'drassbüak	n. address book, a directory. 	https://ereimer.net/plautdietsch/pddefns.htm#A%27drassb%C3%BCak	A'drassbüak	_
adra'sseare	address a letter. 	https://ereimer.net/plautdietsch/pddefns.htm#adra%27sseare	adra'sseare	_
afen(t)s	almost, barely, nearly, marginally. 	https://ereimer.net/plautdietsch/pddefns.htm#afen%28t%29s	afen(t)s	_
Agj	f. (pl: e) selvage, fringe or edge of cloth. 	https://ereimer.net/plautdietsch/pddefns.htm#Agj	Agj	Eġġ	http://example.org/lexicon#E%C4%A1%C4%A1
_	_	_	Agj	Eǧǧ	http://example.org/lexicon#E%C7%A7%C7%A7%7CEch
äjanoatijch	peculiar, strange; original. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4janoatijch	äjanoatijch	_
äjen	own; odd nature, peculiar, singular. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4jen	äjen	Eggen	http://example.org/lexicon#Eggen
_	_	_	äjen	Ēgen	http://example.org/lexicon#dat_%C4%92gen
_	_	_	äjen	ēgen	http://example.org/lexicon#%C3%B6ver_de_%C4%93gen
_	_	_	äjen	ēgen	http://example.org/lexicon#%C4%93gen
_	_	_	äjen	ēgen	http://example.org/lexicon#in%E2%80%99t_%C4%93gen
_	_	_	äjen	ēgen	http://example.org/lexicon#t%C5%8D_%C4%93gen
Äjendeema	m. owner, proprietor. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jendeema	Äjendeema	Ēgendȫmer	http://example.org/lexicon#%C4%92gend%C8%ABmer
Äjendeema Bewiess	m. title, deed, proof of ownership. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jendeema%20Bewiess	Äjendeema	Ēgendȫmer	http://example.org/lexicon#%C4%92gend%C8%ABmer
_	_	_	Bewiess	Bewies	http://example.org/lexicon#Bewies
Äjendom	property, ownership, chattels. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jendom	Äjendom	Ēgendōōm	http://example.org/lexicon#%C4%92gend%C5%8D%C5%8Dm
_	_	_	Äjendom	Ēgendōōm	http://example.org/lexicon#dat_%C4%92gend%C5%8D%C5%8Dm
Äjenheit	f. (pl: e) characteristic, peculiarity. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jenheit	Äjenheit	_
Äjenkopp	m. a stubborn, self willed individual. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jenkopp	Äjenkopp	_
Äjenrajcht	tenure, right of ownership. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jenrajcht	Äjenrajcht	_
Äjenschoft	f. (pl: e) quality, characteristic, idiocyncracy. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jenschoft	Äjenschoft	_
Äjensenn	obstinacy, self will. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jensenn	Äjensenn	Ēgensinn	http://example.org/lexicon#%C4%92gensinn
Äjensennijch	obstinate, self willed, independent. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84jensennijch	Äjensennijch	ēgensinnig	http://example.org/lexicon#%C4%93gensinnig
äjent	especially. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4jent	äjent	_
Ä'jent	m. (pl: e) agent. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84%27jent	Ä'jent	_
äjne	to own. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4jne	äjne	_
Akj	f. (pl: e) corner, nook angle. 	https://ereimer.net/plautdietsch/pddefns.htm#Akj	Akj	Eck	http://example.org/lexicon#Eck
Akj too Akj	corner to corner. 	https://ereimer.net/plautdietsch/pddefns.htm#Akj%20too%20Akj	Akj	Eck	http://example.org/lexicon#Eck
_	_	_	too	Tau	http://example.org/lexicon#dat_Tau
_	_	_	too	tō	http://example.org/lexicon#af_un_t%C5%8D
_	_	_	too	tō	http://example.org/lexicon#no_%E2%80%A6_t%C5%8D
_	_	_	too	tō	http://example.org/lexicon#t%C5%8D
_	_	_	too	tō	http://example.org/lexicon#t%C5%8D_%28Huus%2C_S%C4%93%C4%93%2C_Kopp%2C_H%C3%B6lp%2C_D%C5%8D%C5%8Dd%2C_Mal%C8%AB%C8%ABr%2C_Oorntiet%29
_	_	_	too	tō	http://example.org/lexicon#t%C5%8D_un_t%C5%8D
_	_	_	Akj	Eck	http://example.org/lexicon#Eck
Äkj	f. (pl: e) oak (tree). 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84kj	Äkj	Eck	http://example.org/lexicon#Eck
_	_	_	Äkj	Ēēk	http://example.org/lexicon#%C4%92%C4%93k
akjawalsch	askew, out of plumb. 	https://ereimer.net/plautdietsch/pddefns.htm#akjawalsch	akjawalsch	_
Äkje	f. rafters. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84kje	Äkje	Eck	http://example.org/lexicon#Eck
_	_	_	Äkje	Ēēk	http://example.org/lexicon#%C4%92%C4%93k
_	_	_	Äkje	ēken	http://example.org/lexicon#%C4%93ken
Äkjekota	m. squirrel. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84kjekota	Äkjekota	_
akjijch	angular. 	https://ereimer.net/plautdietsch/pddefns.htm#akjijch	akjijch	_
Akjs	f. (pl: e) axe. 	https://ereimer.net/plautdietsch/pddefns.htm#Akjs	Akjs	_
Akjschaup	n. corner cupboard. 	https://ereimer.net/plautdietsch/pddefns.htm#Akjschaup	Akjschaup	Eckschapp	http://example.org/lexicon#Eckschapp
Akjshaulm	m. (pl: Akjshalm) axe handle. 	https://ereimer.net/plautdietsch/pddefns.htm#Akjshaulm	Akjshaulm	_
Akjsteen	m. corner stone. 	https://ereimer.net/plautdietsch/pddefns.htm#Akjsteen	Akjsteen	Eckstēēn	http://example.org/lexicon#Eckst%C4%93%C4%93n
Alboage	m. (pl: s) elbow. 	https://ereimer.net/plautdietsch/pddefns.htm#Alboage	Alboage	Ellbogen	http://example.org/lexicon#Ellbogen
Älend	n. misery, affliction, wretchedness. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84lend	Älend	Ēlend	http://example.org/lexicon#dat_%C4%92lend
älendijch	skinny, seedy. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4lendijch	älendijch	_
alf (alw)	f. eleven. 	https://ereimer.net/plautdietsch/pddefns.htm#alf%20%28alw%29	alf	Elv	http://example.org/lexicon#Elv
_	_	_	(alw)	Elv	http://example.org/lexicon#Elv
alftel	eleventh part. 	https://ereimer.net/plautdietsch/pddefns.htm#alftel	alftel	_
am	him. 	https://ereimer.net/plautdietsch/pddefns.htm#am	am	Amm	http://example.org/lexicon#Amm
_	_	_	am	ėm	http://example.org/lexicon#%C4%97m
Ama	m. (pl: sch) pail, bucket. 	https://ereimer.net/plautdietsch/pddefns.htm#Ama	Ama	Ammer	http://example.org/lexicon#Ammer
_	_	_	Ama	Emma	http://example.org/lexicon#Emma
an	them. 	https://ereimer.net/plautdietsch/pddefns.htm#an	an	an	http://example.org/lexicon#%E2%80%A6_an_%E2%80%A6
_	_	_	an	an	http://example.org/lexicon#an
_	_	_	an	Ėnn	http://example.org/lexicon#%C4%96nn
_	_	_	an	Ėnn	http://example.org/lexicon#%C4%96nn_%28ni_s%C4%93hn%7Cvun_we%C7%A7%29
_	_	_	an	Ėnn	http://example.org/lexicon#%C4%97n_%C4%96nn_vun_af
_	_	_	an	Ėnn	http://example.org/lexicon#an%E2%80%99_%C4%96nn
_	_	_	an	Ėnn	http://example.org/lexicon#dat%7Cde_%C4%96nn
_	_	_	an	Ėnn	http://example.org/lexicon#in%E2%80%99_%C4%96nn
_	_	_	an	Ėnn	http://example.org/lexicon#t%C5%8D_%C4%96nn
_	_	_	an	Ėnn	http://example.org/lexicon#um_dat_%C4%96nn_vun
_	_	_	an	ėn	http://example.org/lexicon#%28f%C3%B6r%29_%C4%97n
_	_	_	an	ėn	http://example.org/lexicon#%28f%C3%B6r%7Cop%29_%C4%97n
_	_	_	an	ėn	http://example.org/lexicon#%C4%97n
Angel	f. (pl: Angle) fishing rod and line. 	https://ereimer.net/plautdietsch/pddefns.htm#Angel	Angel	Angel	http://example.org/lexicon#Angel
_	_	_	Angel	Ėngel	http://example.org/lexicon#%C4%96ngel
angle	to fish, to angle. 	https://ereimer.net/plautdietsch/pddefns.htm#angle	angle	_
Angst	fear, deep concern, anguish, trepidation. 	https://ereimer.net/plautdietsch/pddefns.htm#Angst	Angst	Angst	http://example.org/lexicon#Angst
_	_	_	Angst	angst	http://example.org/lexicon#angst_un_bang
Anka	m. (pl: sch) anchor, grapnel. 	https://ereimer.net/plautdietsch/pddefns.htm#Anka	Anka	Anker	http://example.org/lexicon#Anker
_	_	_	Anka	Anker	http://example.org/lexicon#v%C3%B6r_Anker
Ankaplauts , Ankastäd	a berth. 	https://ereimer.net/plautdietsch/pddefns.htm#Ankaplauts%20%2C%20Ankast%C3%A4d	Ankaplauts	_
_	_	_	,	_
_	_	_	Ankastäd	_
ankre	to anchor, to dock. 	https://ereimer.net/plautdietsch/pddefns.htm#ankre	ankre	Anker	http://example.org/lexicon#Anker
_	_	_	ankre	Anker	http://example.org/lexicon#v%C3%B6r_Anker
_	_	_	ankre	Enger	http://example.org/lexicon#Enger
änle	to resemble. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4nle	änle	_
änlijch	similar, alike, like. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4nlijch	änlijch	_
Änlijchkjeit	f. (pl: e) similarity, resemblance, likeness. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84nlijchkjeit	Änlijchkjeit	_
A'postel	apostle. 	https://ereimer.net/plautdietsch/pddefns.htm#A%27postel	A'postel	_
A'prell	m. April. 	https://ereimer.net/plautdietsch/pddefns.htm#A%27prell	A'prell	_
Arent	f. (pl: e) a crop, a harvest. 	https://ereimer.net/plautdietsch/pddefns.htm#Arent	Arent	_
Ar'foljch	m. success. 	https://ereimer.net/plautdietsch/pddefns.htm#Ar%27foljch	Ar'foljch	_
arnte	to harvest. 	https://ereimer.net/plautdietsch/pddefns.htm#arnte	arnte	_
Ar'schaufa	m. Creator. 	https://ereimer.net/plautdietsch/pddefns.htm#Ar%27schaufa	Ar'schaufa	_
Asch	f. (pl: e) ash tree. 	https://ereimer.net/plautdietsch/pddefns.htm#Asch	Asch	Asch	http://example.org/lexicon#Asch
Äsel	m. (pl: s) donkey. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84sel	Äsel	Esel	http://example.org/lexicon#Esel
_	_	_	Äsel	Ösel	http://example.org/lexicon#%C3%96sel
Äsel	n. ashes. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84sel	Äsel	Esel	http://example.org/lexicon#Esel
_	_	_	Äsel	Ösel	http://example.org/lexicon#%C3%96sel
Äsel Jeschrejch	n. braying. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84sel%20Jeschrejch	Äsel	Esel	http://example.org/lexicon#Esel
_	_	_	Äsel	Ösel	http://example.org/lexicon#%C3%96sel
_	_	_	Jeschrejch	Geschriǧǧ	http://example.org/lexicon#dat_Geschri%C7%A7%C7%A7
Äselbood , Äsel Kül	f. ashpit. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84selbood%20%2C%20%C3%84sel%20K%C3%BCl	Äselbood	_
_	_	_	,	_
_	_	_	Äsel	Esel	http://example.org/lexicon#Esel
_	_	_	Äsel	Ösel	http://example.org/lexicon#%C3%96sel
_	_	_	Kül	Kuhl	http://example.org/lexicon#Kuhl
_	_	_	Kül	Küll	http://example.org/lexicon#K%C3%BCll
_	_	_	Kül	Küll	http://example.org/lexicon#v%C3%B6r_K%C3%BCll
Äselfalm	n. hinny. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84selfalm	Äselfalm	_
Äselmaunda	m. salamander, lizard. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84selmaunda	Äselmaunda	_
astijch	gnarled, branchy. 	https://ereimer.net/plautdietsch/pddefns.htm#astijch	astijch	_
ätboa	edible, esculent. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4tboa	ätboa	_
äte	to eat. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4te	äte	Eten	http://example.org/lexicon#Eten
_	_	_	äte	Eten	http://example.org/lexicon#dat_Eten
_	_	_	äte	eten	http://example.org/lexicon#eten_gohn
Äte	n. food, nourishment, nutrient. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84te	Äte	Eten	http://example.org/lexicon#Eten
_	_	_	Äte	Eten	http://example.org/lexicon#dat_Eten
_	_	_	Äte	eten	http://example.org/lexicon#eten_gohn
atelje	some. several, a few. 	https://ereimer.net/plautdietsch/pddefns.htm#atelje	atelje	_
Äteskauste	m. food hamper, picnic basket. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84teskauste	Äteskauste	_
Äteskoma	f. larder, pantry, cupboard. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84teskoma	Äteskoma	_
ätgangs	towards the end of. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4tgangs	ätgangs	_
Ätstow	f. dining room. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84tstow	Ätstow	_
Ätwoa	f. gorceries. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84twoa	Ätwoa	Eetwoor	http://example.org/lexicon#Eetwoor
Ätwoahendla	m. grocer. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%84twoahendla	Ätwoahendla	_
Aubeetsee	n. abc's, alphabet. 	https://ereimer.net/plautdietsch/pddefns.htm#Aubeetsee	Aubeetsee	_
au'dee	goodbye, farewell. 	https://ereimer.net/plautdietsch/pddefns.htm#au%27dee	au'dee	_
auf	is widely used as a prefix but it can stand alone; it usually indicates 'off'. 	https://ereimer.net/plautdietsch/pddefns.htm#auf	auf	af	http://example.org/lexicon#af
_	_	_	auf	af	http://example.org/lexicon#af_un_t%C5%8D
_	_	_	auf	af	http://example.org/lexicon#op_un_af
_	_	_	auf	off	http://example.org/lexicon#off
auf	off, down, from, away, whether. 	https://ereimer.net/plautdietsch/pddefns.htm#auf	auf	af	http://example.org/lexicon#af
_	_	_	auf	af	http://example.org/lexicon#af_un_t%C5%8D
_	_	_	auf	af	http://example.org/lexicon#op_un_af
_	_	_	auf	off	http://example.org/lexicon#off
auf onn too	now and then, on and off. 	https://ereimer.net/plautdietsch/pddefns.htm#auf%20onn%20too	auf	af	http://example.org/lexicon#af
_	_	_	auf	af	http://example.org/lexicon#af_un_t%C5%8D
_	_	_	auf	af	http://example.org/lexicon#op_un_af
_	_	_	auf	off	http://example.org/lexicon#off
_	_	_	onn	Ohn	http://example.org/lexicon#Ohn
_	_	_	onn	an	http://example.org/lexicon#%E2%80%A6_an_%E2%80%A6
_	_	_	onn	an	http://example.org/lexicon#an
_	_	_	onn	un	http://example.org/lexicon#%28man%29_jo_un_jo_ni
_	_	_	onn	un	http://example.org/lexicon#%28s%C5%8D%29_no_un_no
_	_	_	onn	un	http://example.org/lexicon#%28s%C5%8D%29_um_un_bi
_	_	_	onn	un	http://example.org/lexicon#%E2%80%A6_ni_%E2%80%A6_un_ni_%E2%80%A6
_	_	_	onn	un	http://example.org/lexicon#%E2%80%A6_un_%E2%80%A6
_	_	_	onn	un	http://example.org/lexicon#H%C4%93_un_S%C4%93
_	_	_	onn	un	http://example.org/lexicon#af_un_t%C5%8D
_	_	_	onn	un	http://example.org/lexicon#ni_un_ni
_	_	_	onn	un	http://example.org/lexicon#op_un_af
_	_	_	onn	un	http://example.org/lexicon#t%C5%8D_un_t%C5%8D
_	_	_	onn	un	http://example.org/lexicon#um_un_bi_u%7C%C3%BC_
_	_	_	onn	un	http://example.org/lexicon#um_un_um_um%7C%C3%BCm
_	_	_	onn	un	http://example.org/lexicon#un
_	_	_	onn	un	http://example.org/lexicon#un_s%C5%8D
_	_	_	too	Tau	http://example.org/lexicon#dat_Tau
_	_	_	too	tō	http://example.org/lexicon#af_un_t%C5%8D
_	_	_	too	tō	http://example.org/lexicon#no_%E2%80%A6_t%C5%8D
_	_	_	too	tō	http://example.org/lexicon#t%C5%8D
_	_	_	too	tō	http://example.org/lexicon#t%C5%8D_%28Huus%2C_S%C4%93%C4%93%2C_Kopp%2C_H%C3%B6lp%2C_D%C5%8D%C5%8Dd%2C_Mal%C8%AB%C8%ABr%2C_Oorntiet%29
_	_	_	too	tō	http://example.org/lexicon#t%C5%8D_un_t%C5%8D
aufaste	to debranch, prune. 	https://ereimer.net/plautdietsch/pddefns.htm#aufaste	aufaste	_
aufbarschte	to brush off. 	https://ereimer.net/plautdietsch/pddefns.htm#aufbarschte	aufbarschte	_
aufbeitse	to remove through caustic action. 	https://ereimer.net/plautdietsch/pddefns.htm#aufbeitse	aufbeitse	_
aufbestalle	to cancel or countermand an order. 	https://ereimer.net/plautdietsch/pddefns.htm#aufbestalle	aufbestalle	_
aufbiete	to bite off. 	https://ereimer.net/plautdietsch/pddefns.htm#aufbiete	aufbiete	afbieten	http://example.org/lexicon#afbieten
Aufbildung	f. illustration. 	https://ereimer.net/plautdietsch/pddefns.htm#Aufbildung	Aufbildung	_
Aufbilt	n. image, copy, likeness, replica. 	https://ereimer.net/plautdietsch/pddefns.htm#Aufbilt	Aufbilt	_
aufbinje	to apply a tourniquet, to tie off. 	https://ereimer.net/plautdietsch/pddefns.htm#aufbinje	aufbinje	afbinnen	http://example.org/lexicon#afbinnen
Aufbinjsel	n. a tourniquet. 	https://ereimer.net/plautdietsch/pddefns.htm#Aufbinjsel	Aufbinjsel	_
aufbräakje	to demolish; break off. 	https://ereimer.net/plautdietsch/pddefns.htm#aufbr%C3%A4akje	aufbräakje	afbreken	http://example.org/lexicon#afbreken
aufbrenne	to be razed by fire, to burn down. 	https://ereimer.net/plautdietsch/pddefns.htm#aufbrenne	aufbrenne	afbrėnnen	http://example.org/lexicon#afbr%C4%97nnen
aufbrockle	to crumble away. 	https://ereimer.net/plautdietsch/pddefns.htm#aufbrockle	aufbrockle	_
aufbrucke	to wear away, to use up. 	https://ereimer.net/plautdietsch/pddefns.htm#aufbrucke	aufbrucke	_
aufbrutsche	to do a sloppy job. 	https://ereimer.net/plautdietsch/pddefns.htm#aufbrutsche	aufbrutsche	_
aufdakje	to uncover, to remove a blanket. 	https://ereimer.net/plautdietsch/pddefns.htm#aufdakje	aufdakje	afdecken	http://example.org/lexicon#afdecken
Aufdank	f. a eulogy. 	https://ereimer.net/plautdietsch/pddefns.htm#Aufdank	Aufdank	_
aufdanke	to officiate at a funeral. 	https://ereimer.net/plautdietsch/pddefns.htm#aufdanke	aufdanke	_
